favor,type,name,text,extra
官网,spide,官网,https://www.kernel.org/,{}
官网,spide,镜像,https://mirrors.tuna.tsinghua.edu.cn/kernel/v3.x/,{}
官网,spide,文档,http://www.tldp.org/,{}
下载,shell,目录,cd usr/,{}
下载,shell,下载,wget https://mirrors.tuna.tsinghua.edu.cn/kernel/v3.x/linux-3.10.1.tar.gz,{}
下载,shell,解压,tar xvf linux-3.10.1.tar.gz,{}
下载,shell,目录,cd linux-3.10.1/,{}
下载,shell,配置,make defconfig,{}
下载,shell,编译,make,{}
下载,shell,安装,make install,{}
下载,shell,安装,make modules_install,{}
